"","X","X_SMHI","Y_SMHI","Name","Year","Month","Day","Depth.m","Temp..øC","pH","Cond..mS.m25øC","Ca.meq.l","Mg.meq.l","Na.meq.l","K.meq.l","Alk..Acid.meq.l","SO4_IC.meq.l","Cl.meq.l","NO2.NO3.N.ug.l","Tot.N_ps.ug.l","Tot.P.ug.l","Abs._F.420nm.5cm","TOC.mg.l","Si.mg.l"
"12",12,656016,162798,"SVARTSJÖN",2005,11,22,1,3.8,5.49,2.18,0.09,0.036,0.067,0.006,0,0.056,0.061,40,386,14,0.263,12.3,2.23
"163",163,656293,153800,"STORA FJÄLLSJÖN",2005,11,27,1,2.9,5.08,2.24,0.083,0.039,0.063,0.005,-0.023,0.036,0.05,39,367,25,0.571,18.1,4.03
"436",437,632311,146580,"MARHULTA GÖL",2005,11,17,1,5.8,5.19,2.18,0.042,0.029,0.062,0.009,-0.016,0.021,0.064,38,832,21,0.714,18.1,0.81
"952",959,651789,140827,"TROLLSJÖN",2005,11,27,1,3,6.48,2.41,0.127,0.027,0.067,0.012,0.06,0.026,0.089,48,313,24,0.083,9.3,0.95
"1061",1069,660096,136535,"SÖRTJÄRN",2005,11,2,1,6.8,5.93,1.11,0.043,0.014,0.031,0.008,0.029,0.01,0.029,10,437,27,0.067,5.5,0.11
"1093",1101,662269,136858,"LILLSJÖN",2005,11,2,1,6.6,6.52,2.67,0.131,0.045,0.067,0.011,0.065,0.061,0.053,23,265,12,0.069,7.8,0.14
"1099",1107,662682,132860,"ÖRVATTNET",2005,11,2,1,6.4,5.42,1.7,0.039,0.024,0.057,0.006,0.001,0.058,0.044,45,269,7,0.03,3.6,0.44
"1101",1109,662812,133969,"STOR-RÅTJÄRNET",2005,11,2,1,6.2,6.81,4.27,0.34,0.056,0.063,0.006,0.261,0.036,0.051,32,825,13,0.346,14.6,0.8
"1117",1125,663887,128125,"KROKVATTNET",2005,11,3,1,5.9,6.61,3.87,0.303,0.042,0.065,0.005,0.203,0.034,0.059,73,246,10,0.338,12,0.92
"1119",1127,664057,139358,"KVARNSJÖN",2005,11,2,1,6.2,6.83,3.37,0.243,0.042,0.057,0.01,0.179,0.044,0.038,66,323,8,0.159,8.1,0.95
